%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494450152923828936,0,399,0,399,0
1494450152943617441,0,399,0,399,0
1494450152965809668,0,399,0,399,0
1494450152983049613,0,399,0,399,0
1494450153004081684,0,399,0,399,0
1494450153025043167,0,399,0,399,0
1494450153042999685,0,399,0,399,0
1494450153063628765,0,399,0,399,0
1494450153084013069,0,399,0,399,0
1494450153103774367,0,399,0,399,0
1494450153124989437,0,399,0,399,0
1494450153143249910,0,399,0,399,0
1494450153162819660,0,399,0,399,0
1494450153188991809,0,399,0,399,0
1494450153211910667,0,399,0,399,0
1494450153224850236,0,399,0,399,0
1494450153243622214,0,399,0,399,0
1494450153265672481,0,399,0,399,0
1494450153285056942,0,399,0,399,0
1494450153315176420,0,399,0,399,0
1494450153331960281,0,399,0,399,0
1494450153348175767,0,399,0,399,0
1494450153366377692,0,399,0,399,0
1494450153385352633,0,399,0,399,0
1494450153404914294,0,399,0,399,0
1494450153427025281,0,399,0,399,0
1494450153443980452,0,399,0,399,0
1494450153465543378,0,399,0,399,0
1494450153487983994,0,399,0,399,0
1494450153505892280,0,399,0,399,0
1494450153524862617,0,399,0,399,0
1494450153545947832,0,399,0,399,0
1494450153563557431,0,399,0,399,0
1494450153585812540,0,399,0,399,0
1494450153605398197,0,399,0,399,0
1494450153627842057,0,399,0,399,0
1494450153646597503,0,399,0,399,0
1494450153667143330,0,399,0,399,0
1494450153683772309,0,399,0,399,0
1494450153707011170,0,399,0,399,0
1494450153724254576,0,399,0,399,0
1494450153745233344,0,399,0,399,0
1494450153767778079,0,399,0,399,0
1494450153787250667,0,399,0,399,0
1494450153809757088,0,399,0,399,0
1494450153824471496,0,399,0,399,0
1494450153846615799,0,399,0,399,0
1494450153864747597,0,399,0,399,0
1494450153884169349,0,437,1212,399,330
1494450153913145883,0,437,1212,399,330
1494450153925915879,0,437,1212,399,330
1494450153946305105,0,437,1212,399,330
1494450153965591294,0,437,1212,399,330
1494450153984068368,0,437,1212,399,330
1494450154005495142,0,437,1212,399,330
1494450154025659093,0,437,1212,399,330
1494450154047484858,0,437,1212,399,330
1494450154065665223,0,437,1212,399,330
1494450154084124114,0,437,1212,399,330
1494450154105149068,0,437,1212,399,330
1494450154124706667,0,437,1212,399,330
1494450154145729825,0,437,1212,399,330
1494450154166653743,0,437,1212,399,330
1494450154187973921,0,475,606,399,660
1494450154207147247,0,475,606,399,660
1494450154226113703,0,475,606,399,660
1494450154245184134,0,475,606,399,660
1494450154265768123,0,475,606,399,660
1494450154286821488,0,475,606,399,660
1494450154309379673,0,475,606,399,660
1494450154327102895,0,475,606,399,660
1494450154345130670,0,475,606,399,660
1494450154369814481,0,475,606,399,660
1494450154385104118,0,475,606,399,660
1494450154408786108,0,475,606,399,660
1494450154430134923,0,475,606,399,660
1494450154448168183,0,475,606,399,660
1494450154471551462,0,475,606,399,660
1494450154488261232,0,475,606,399,660
1494450154508856765,0,475,606,399,660
1494450154531845288,0,475,606,399,660
1494450154556056483,0,475,606,399,660
1494450154571788636,0,475,606,399,660
1494450154585355005,0,475,606,399,660
1494450154605352862,0,475,606,399,660
1494450154630162170,0,475,606,399,660
1494450154645433144,0,475,606,399,660
1494450154666958949,0,475,606,399,660
1494450154685970816,0,475,606,399,660
1494450154706384970,0,475,606,399,660
1494450154743352832,0,475,606,399,660
1494450154759598081,0,475,606,399,660
1494450154765777125,0,475,606,399,660
1494450154791753415,0,475,606,399,660
1494450154806836972,0,475,606,399,660
1494450154826435414,0,475,606,399,660
1494450154844961912,0,475,606,399,660
1494450154865551585,0,475,606,399,660
1494450154886511180,0,437,1212,399,330
1494450154907612586,0,437,1212,399,330
1494450154936211099,0,437,1212,399,330
1494450154948523625,0,437,1212,399,330
1494450154969046039,0,437,1212,399,330
1494450154988594544,0,437,1212,399,330
1494450155006010745,0,437,1212,399,330
1494450155029517920,0,437,1212,399,330
1494450155051249415,0,437,1212,399,330
1494450155068244338,0,437,1212,399,330
1494450155088322044,0,437,1212,399,330
1494450155107237598,0,437,1212,399,330
1494450155127218759,0,437,1212,399,330
1494450155146066742,0,437,1212,399,330
1494450155172719995,0,437,1212,399,330
1494450155186415186,0,437,1212,399,330
1494450155205752901,0,437,1212,399,330
1494450155235851997,0,437,1212,399,330
1494450155246084237,0,437,1212,399,330
1494450155266354668,0,437,1212,399,330
1494450155288003091,0,399,0,399,0
1494450155305995764,0,399,0,399,0
1494450155345919193,0,399,0,399,0
1494450155355279923,0,399,0,399,0
1494450155366454789,0,399,0,399,0
1494450155388379202,0,399,0,399,0
1494450155408949439,0,399,0,399,0
1494450155428627559,0,399,0,399,0
1494450155447460746,0,399,0,399,0
1494450155469444764,0,399,0,399,0
1494450155486715910,0,437,-1212,399,-329
1494450155510272105,0,437,-1212,399,-329
1494450155530372609,0,437,-1212,399,-329
1494450155549118481,0,437,-1212,399,-329
1494450155566450168,0,437,-1212,399,-329
1494450155587664857,0,475,-606,399,-659
1494450155606951723,0,475,-606,399,-659
1494450155627909765,0,475,-606,399,-659
1494450155652949039,0,475,-606,399,-659
1494450155667446339,0,475,-606,399,-659
1494450155688825342,0,513,-404,399,-990
1494450155708770602,0,513,-404,399,-990
1494450155727173537,0,513,-404,399,-990
1494450155763897941,0,513,-404,399,-990
1494450155771116337,0,513,-404,399,-990
1494450155787768134,0,513,-404,399,-990
1494450155806995075,0,513,-404,399,-990
1494450155837742652,0,513,-404,399,-990
1494450155869901163,0,513,-404,399,-990
1494450155876435802,0,513,-404,399,-990
1494450155890055463,0,513,-404,399,-990
1494450155908711909,0,513,-404,399,-990
1494450155938761722,0,513,-404,399,-990
1494450155947771676,0,513,-404,399,-990
1494450155966693122,0,513,-404,399,-990
1494450155985940848,0,475,-606,399,-659
1494450156022667806,0,475,-606,399,-659
1494450156028075441,0,475,-606,399,-659
1494450156047885529,0,475,-606,399,-659
1494450156067230664,0,475,-606,399,-659
1494450156088843527,0,475,-606,399,-659
1494450156108483527,0,475,-606,399,-659
1494450156128139207,0,475,-606,399,-659
1494450156167803394,0,475,-606,399,-659
1494450156176777236,0,475,-606,399,-659
1494450156186781525,0,437,-1212,399,-329
1494450156206886975,0,437,-1212,399,-329
1494450156227999580,0,437,-1212,399,-329
1494450156248432145,0,437,-1212,399,-329
1494450156268513181,0,437,-1212,399,-329
1494450156287864599,0,437,-1212,399,-329
1494450156307822742,0,437,-1212,399,-329
1494450156327871238,0,437,-1212,399,-329
1494450156347261328,0,437,-1212,399,-329
1494450156370500215,0,437,-1212,399,-329
1494450156390966612,0,437,-1212,399,-329
1494450156409567175,0,437,-1212,399,-329
1494450156428010800,0,437,-1212,399,-329
1494450156450036302,0,437,-1212,399,-329
1494450156474899476,0,437,-1212,399,-329
1494450156487722403,0,399,0,399,0
1494450156512028711,0,399,0,399,0
1494450156529617674,0,399,0,399,0
1494450156548039509,0,399,0,399,0
1494450156573809868,0,399,0,399,0
1494450156590235731,0,399,0,399,0
1494450156607099449,0,399,0,399,0
1494450156629564059,0,399,0,399,0
1494450156647445395,0,399,0,399,0
1494450156668421012,0,399,0,399,0
1494450156707314483,0,399,0,399,0
1494450156713751520,0,399,0,399,0
1494450156728614744,0,399,0,399,0
1494450156748537257,0,399,0,399,0
1494450156778003619,0,399,0,399,0
1494450156788001502,0,399,0,399,0
1494450156808545877,0,399,0,399,0
1494450156828866894,0,437,1212,399,330
1494450156848808432,0,437,1212,399,330
1494450156868908979,0,437,1212,399,330
1494450156887449524,0,437,1212,399,330
1494450156908420460,0,437,1212,399,330
1494450156926758349,0,437,1212,399,330
1494450156948333474,0,437,1212,399,330
1494450156970361036,0,437,1212,399,330
1494450156987954548,0,387,1060,350,330
1494450157007947946,0,387,1060,350,330
1494450157028376165,0,387,1060,350,330
1494450157049366139,0,387,1060,350,330
1494450157069005350,0,387,1060,350,330
1494450157092415548,0,337,909,300,330
1494450157109684201,0,337,909,300,330
1494450157129400543,0,287,757,250,330
1494450157149453100,0,287,757,250,330
1494450157168172233,0,287,757,250,330
1494450157189460232,0,287,757,250,330
1494450157208105681,0,287,757,250,330
1494450157228988358,0,287,757,250,330
1494450157248239325,0,287,757,250,330
1494450157270645447,0,287,757,250,330
1494450157291071107,0,237,606,200,330
1494450157307970071,0,237,606,200,330
1494450157334740459,0,237,606,200,330
1494450157349286443,0,237,606,200,330
1494450157369639799,0,237,606,200,330
1494450157394022834,0,187,454,150,330
1494450157411165845,0,187,454,150,330
1494450157428246506,0,187,454,150,330
1494450157448320467,0,187,454,150,330
