%time,field.data
1494449908775173947,{ AA 55 4D 01 0F 08 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0F 06 73 07 6D 06 06 02 00 00 0D 0E F1 06 9C FF E1 FF BF FF 95 FF E0 FF C0 FF 10 10 00 00 E7 0F F4 0F F2 0F E6 0F EE 0F 00 00 00 00 6B }
1494449908775183376,{ AA 55 4D 01 0F 1C 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 15 06 73 07 6B 06 06 02 00 00 0D 0E F3 06 8E FF E1 FF BB FF 8D FF E2 FF B1 FF 10 10 00 00 EB 0F F1 0F E5 0F E3 0F EE 0F 00 00 00 00 07 }
1494449908775191542,{ AA 55 4D 01 0F 30 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 15 06 72 07 6B 06 06 02 00 00 0D 0E F5 06 90 FF E4 FF A8 FF 90 FF E6 FF A8 FF 10 10 00 00 E9 0F E6 0F E4 0F F0 0F EF 0F 00 00 00 00 22 }
1494449908775198835,{ AA 55 53 01 0F 44 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 72 07 69 06 06 02 00 00 0D 14 F7 09 8C FF E8 FF B2 FF 87 FF E8 FF BF FF 88 FF E4 FF C4 FF 10 10 00 00 E2 0F E7 0F E9 0F F5 0F EE 0F 00 00 00 00 0A }
1494449908775212596,{ AA 55 4D 01 0F 58 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 72 07 69 06 06 02 00 00 0D 0E FA 06 90 FF DB FF C1 FF 97 FF D6 FF BB FF 10 10 00 00 E5 0F E9 0F EA 0F F5 0F EE 0F 00 00 00 00 38 }
1494449908775219530,{ AA 55 4D 01 0F 6C 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 70 07 6D 06 06 02 00 00 0D 0E FC 06 9A FF D8 FF B9 FF 99 FF DC FF BA FF 10 10 00 00 E7 0F F4 0F EC 0F E9 0F EE 0F 00 00 00 00 7D }
1494449908775228318,{ AA 55 4D 01 0F 80 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 15 06 6F 07 6D 06 06 02 00 00 0D 0E FE 06 96 FF DB FF BC FF 94 FF DD FF BE FF 10 10 00 00 ED 0F EF 0F E6 0F E2 0F EE 0F 00 00 00 00 9A }
1494449908775241735,{ AA 55 4D 01 0F 94 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 15 06 6F 07 6D 06 06 02 00 00 0D 0E 00 06 92 FF E8 FF BF FF 91 FF F6 FF BD FF 10 10 00 00 EA 0F EA 0F E5 0F E9 0F EE 0F 00 00 00 00 63 }
1494449908775249809,{ AA 55 4D 01 0F A8 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 74 07 6D 06 06 02 00 00 0D 0E 02 06 91 FF FA FF B5 FF 94 FF F2 FF AE FF 10 10 00 00 E5 0F E6 0F E6 0F F2 0F ED 0F 00 00 00 00 50 }
1494449908775263990,{ AA 55 4D 01 0F BC 5C 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 74 07 5E 06 06 02 00 00 0D 0E 04 06 96 FF EA FF B0 FF 96 FF EC FF BB FF 10 10 00 00 E2 0F E8 0F E9 0F F1 0F EF 0F 00 00 00 00 6F }
