,labels,time,vleft,vright,vw,vx
363,False,1.815,5.093,4.8816,-0.032586,0.17456
364,False,1.82,4.8837,5.1958,0.048126,0.17639
365,False,1.825,5.2347,5.0431,-0.029553,0.17986
366,False,1.83,4.8419,5.2193,0.058197,0.17607
367,False,1.835,4.9,5.059,0.024526,0.17428
368,False,1.84,4.9556,4.8754,-0.012371,0.17204
369,False,1.845,4.8682,4.8013,-0.010327,0.16922
370,False,1.85,4.8475,5.0232,0.027083,0.17274
371,False,1.855,5.1027,4.9713,-0.020255,0.1763
372,False,1.86,4.8403,5.0958,0.039391,0.17388
373,False,1.865,5.0112,5.1297,0.018279,0.17747
374,False,1.87,4.8981,4.9497,0.0079598,0.17234
375,False,1.875,4.9814,5.0337,0.0080663,0.17526
376,False,1.88,5.2126,4.8528,-0.05548,0.17614
377,False,1.885,4.8579,5.2218,0.056096,0.17639
378,False,1.89,4.7505,5.0064,0.039456,0.17075
379,False,1.895,5.2033,4.8881,-0.048596,0.1766
380,False,1.9,5.09,4.8646,-0.034761,0.17421
381,False,1.905,5.0075,5.2265,0.033765,0.17909
382,False,1.91,5.011,5.0947,0.012902,0.17685
383,False,1.915,4.8015,5.1039,0.046637,0.17334
384,False,1.92,5.2484,5.0785,-0.026208,0.18072
385,False,1.925,4.9295,5.1395,0.032379,0.17621
386,False,1.93,5.0626,5.0402,-0.0034517,0.1768
387,False,1.935,4.9467,5.0016,0.0084697,0.1741
388,False,1.94,4.7538,5.1894,0.067153,0.17401
389,False,1.945,5.0226,4.9465,-0.011744,0.17446
390,False,1.95,5.0046,4.8713,-0.020543,0.17283
391,False,1.955,4.8734,4.8908,0.0026865,0.17087
392,False,1.96,4.7727,5.2024,0.066251,0.17456
393,True,1.965,5.1709,4.7759,-0.060894,0.17407
394,False,1.97,4.7741,5.1765,0.062045,0.17414
395,False,1.975,4.9082,4.9393,0.0048077,0.17233
396,False,1.98,5.1417,5.0665,-0.011595,0.17864
397,False,1.985,5.2362,4.7658,-0.072532,0.17503
398,False,1.99,5.0432,5.21,0.025716,0.17943
399,False,1.995,5.139,4.9849,-0.023767,0.17717
400,False,2.0,5.1138,5.01,-0.016019,0.17717
401,False,2.005,5.0755,5.1332,0.0088907,0.17865
402,False,2.01,5.0823,4.9181,-0.025317,0.17501
403,False,2.015,5.2194,5.063,-0.024114,0.17994
404,False,2.02,5.0175,4.9135,-0.016049,0.17379
405,False,2.025,4.9492,4.9056,-0.0067327,0.17246
406,False,2.03,5.0852,5.073,-0.0018795,0.17777
407,False,2.035,4.9703,4.9668,-0.00052753,0.1739
408,False,2.04,4.8164,4.8014,-0.0023118,0.16831
409,False,2.045,4.9696,4.8681,-0.015654,0.17216
410,False,2.05,5.0238,5.2359,0.032698,0.17954
411,False,2.055,4.9476,5.0994,0.023418,0.17582
412,False,2.06,4.9491,5.0797,0.020135,0.17551
413,False,2.065,5.1257,4.913,-0.032784,0.17568
414,False,2.07,5.0112,4.7599,-0.038741,0.17099
415,False,2.075,4.9952,5.0352,0.0061705,0.17553
416,False,2.08,4.7943,4.7682,-0.0040353,0.16734
417,False,2.085,4.8754,4.8824,0.0010709,0.17076
418,False,2.09,4.9738,4.8453,-0.019805,0.17183
419,False,2.095,5.069,4.9746,-0.014544,0.17576
420,False,2.1,5.1047,5.1343,0.0045646,0.17918
421,False,2.105,5.2463,5.064,-0.028114,0.18043
422,False,2.11,5.2161,4.9074,-0.047604,0.17716
423,False,2.115,4.7961,4.896,0.015404,0.16961
424,False,2.12,5.2268,4.7891,-0.067479,0.17528
425,False,2.125,4.8314,4.836,0.00070526,0.16918
426,False,2.13,5.2352,5.1106,-0.01921,0.18105
427,False,2.135,5.0485,4.7947,-0.039129,0.17226
428,False,2.14,4.8701,5.2089,0.052237,0.17638
429,False,2.145,4.7851,4.9648,0.027706,0.17062
430,False,2.15,4.9,4.7899,-0.016985,0.16957
431,False,2.155,5.1568,5.0361,-0.01861,0.17837
432,False,2.16,4.7884,5.1659,0.05821,0.1742
433,False,2.165,4.9272,4.9237,-0.00054776,0.17239
434,False,2.17,4.816,5.1399,0.049947,0.17423
435,False,2.175,4.8291,5.1042,0.042413,0.17383
436,False,2.18,4.7811,5.0455,0.040766,0.17196
437,False,2.185,5.1009,4.9385,-0.025043,0.17569
438,False,2.19,4.7932,4.9469,0.023694,0.17045
439,False,2.195,5.0584,4.9642,-0.01453,0.17539
440,False,2.2,4.8369,4.9615,0.019216,0.17147
441,False,2.205,5.0757,4.8595,-0.033341,0.17387
442,False,2.21,4.9993,4.9984,-0.00014892,0.17496
443,False,2.215,4.8923,4.7699,-0.01886,0.16909
444,False,2.22,5.1653,5.0324,-0.020487,0.17846
445,False,2.225,5.1592,4.7746,-0.059301,0.17384
446,False,2.23,5.2191,5.1861,-0.0050795,0.18209
447,False,2.235,4.7502,5.18,0.066276,0.17378
448,False,2.24,5.0702,4.9191,-0.023292,0.17481
449,False,2.245,4.7537,5.237,0.074523,0.17484
450,False,2.25,4.8032,5.2274,0.065402,0.17554
451,False,2.255,4.8034,5.2443,0.067982,0.17583
452,False,2.26,4.9336,4.8289,-0.016143,0.17084
453,False,2.265,4.8698,4.7515,-0.018247,0.16837
454,False,2.27,4.9231,4.8741,-0.007552,0.17145
455,False,2.275,4.8748,4.9231,0.0074526,0.17146
456,False,2.28,4.9435,4.8667,-0.011851,0.17168
457,False,2.285,4.9605,5.1279,0.025815,0.17655
458,False,2.29,5.07,4.863,-0.031928,0.17383
459,False,2.295,5.1438,4.9742,-0.026143,0.17706
460,False,2.3,4.885,4.8797,-0.00081331,0.17088
461,False,2.305,5.172,4.9229,-0.038407,0.17666
462,False,2.31,5.1202,5.2015,0.012526,0.18063
463,False,2.315,5.1631,4.7564,-0.062707,0.17359
464,False,2.32,4.8411,4.8161,-0.0038523,0.169
465,False,2.325,4.7827,4.944,0.024872,0.17022
466,False,2.33,5.0552,5.1703,0.017752,0.17895
467,False,2.335,5.1008,4.8566,-0.037643,0.17425
468,False,2.34,4.8058,5.2176,0.063495,0.17541
469,False,2.345,4.7979,5.2349,0.067377,0.17557
470,False,2.35,5.0489,4.9376,-0.017159,0.17476
471,False,2.355,5.1561,5.2424,0.013308,0.18197
472,False,2.36,5.1573,4.811,-0.053386,0.17445
473,False,2.365,4.7947,5.1305,0.051769,0.17369
474,False,2.37,5.1156,5.0397,-0.011712,0.17772
475,False,2.375,5.2019,5.0606,-0.021794,0.17959
476,False,2.38,4.9761,4.995,0.0029043,0.17449
477,False,2.385,4.7853,4.8602,0.011546,0.1688
478,False,2.39,4.8706,4.8221,-0.0074891,0.16962
479,False,2.395,5.1159,5.0676,-0.007454,0.17821
480,False,2.4,4.7702,5.1512,0.058739,0.17363
481,False,2.405,4.9623,5.0848,0.018897,0.17582
482,False,2.41,5.0201,4.9858,-0.0052895,0.1751
483,False,2.415,5.2269,5.2222,-0.00072079,0.18286
484,False,2.42,4.8545,5.0457,0.029494,0.17325
485,False,2.425,4.8082,4.8634,0.0085122,0.16925
